,day_of_year,results
20526,169,25.83333333333333
21222,134,22.22222222222222
21055,332,17.666666666666668
22984,70,18.5
23068,154,22.27777777777777
21959,141,20.72222222222222
21599,146,22.944444444444443
22352,168,25.222222222222225
21335,247,27.666666666666668
21797,344,16.27777777777778
19576,314,21.611111111111114
22246,62,21.38888888888889
19885,258,27.666666666666668
22713,164,24.77777777777777
21485,32,13.055555555555555
22541,357,15.38888888888889
21637,184,26.77777777777778
23050,136,21.611111111111114
19887,260,28.55555555555556
21229,141,21.22222222222222
19784,157,23.000000000000004
18717,186,26.611111111111114
19320,58,15.333333333333334
21565,112,17.166666666666668
21148,60,14.72222222222222
21408,320,22.61111111111111
20361,4,15.333333333333334
22490,306,19.22222222222221
22451,267,27.61111111111111
19223,327,19.05555555555556
20926,203,28.277777777777786
21756,303,19.33333333333333
21708,255,27.0
22044,226,27.22222222222222
20801,78,18.444444444444443
22700,151,24.83333333333333
22595,46,13.333333333333334
19307,45,12.611111111111112
21283,195,27.5
19626,364,16.333333333333332
20399,42,15.77777777777778
20867,144,23.444444444444443
23017,103,17.444444444444443
21686,233,27.722222222222225
19653,26,14.833333333333334
19293,31,11.38888888888889
20872,149,23.38888888888889
21535,82,14.000000000000002
21205,117,16.77777777777778
22476,292,22.666666666666668
19835,208,26.666666666666668
20240,248,28.33333333333333
19021,125,18.88888888888889
18533,2,13.38888888888889
19876,249,27.0
19264,2,13.777777777777777
21487,34,15.22222222222222
22991,77,14.555555555555555
22786,237,29.38888888888889
19405,143,22.722222222222225
19609,347,14.944444444444445
19229,333,19.5
22465,281,24.66666666666667
22726,177,26.444444444444443
20364,7,13.22222222222222
20151,159,24.55555555555556
18755,224,27.33333333333333
19144,248,27.33333333333333
20469,112,19.61111111111111
19513,251,25.444444444444443
19373,111,18.88888888888889
23129,215,28.61111111111111
20735,12,15.61111111111111
20057,65,17.444444444444443
22719,170,26.0
20300,308,22.61111111111111
20758,35,15.72222222222222
22448,264,28.05555555555556
22395,211,28.61111111111111
20800,77,18.77777777777778
23079,165,24.388888888888893
20023,31,13.27777777777778
22217,33,14.166666666666666
22520,336,19.388888888888893
19191,295,23.38888888888889
21479,26,15.88888888888889
22175,357,14.88888888888889
21301,213,29.55555555555556
21270,182,26.27777777777778
21201,113,18.166666666666668
23028,114,18.666666666666664
20288,296,23.944444444444443
22034,216,27.5
19611,349,15.5
22399,215,28.77777777777778
19146,250,28.55555555555556
18756,225,27.88888888888889
22335,151,23.833333333333336
20797,74,17.166666666666668
22904,355,17.22222222222222
20284,292,25.05555555555556
20854,131,20.05555555555556
22236,52,15.27777777777778
19082,186,27.0
19203,307,19.61111111111111
21855,37,14.61111111111111
19061,165,24.33333333333333
23104,190,26.944444444444443
18617,86,15.77777777777778
20144,152,23.72222222222222
23152,238,27.88888888888889
21904,86,16.5
20026,34,16.11111111111111
21307,219,28.83333333333333
22375,191,26.38888888888889
19046,150,22.27777777777777
18649,118,21.5
21463,10,15.0
18985,89,22.88888888888889
23159,245,28.55555555555556
22421,237,29.5
21531,78,14.833333333333334
19274,12,17.944444444444443
21752,299,24.0
20754,31,14.72222222222222
22757,208,27.77777777777778
21003,280,24.77777777777777
21050,327,16.333333333333332
22225,41,10.22222222222222
21165,77,17.72222222222222
22648,99,19.388888888888893
19719,92,16.666666666666668
20308,316,20.0
20461,104,22.22222222222222
22783,234,29.33333333333333
19767,140,20.666666666666668
21324,236,27.16666666666667
21482,29,14.833333333333334
21879,61,19.77777777777777
19639,12,10.22222222222222
22234,50,17.333333333333332
21530,77,16.72222222222222
21434,346,17.0
21555,102,17.77777777777778
22803,254,28.277777777777786
22872,323,19.77777777777777
19737,110,18.5
19387,125,18.05555555555556
21306,218,28.38888888888889
20768,45,16.61111111111111
20893,170,24.88888888888889
22499,315,19.27777777777778
21648,195,26.166666666666664
19557,295,19.111111111111114
19033,137,20.55555555555556
